time_step,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,projected_gravity_x,projected_gravity_y,projected_gravity_z,velocity_command_x,velocity_command_y,velocity_command_yaw,joint_pos_base_lf1,joint_pos_lf1_lf2,joint_pos_lf2_lf3,joint_pos_base_rf1,joint_pos_rf1_rf2,joint_pos_rf2_rf3,joint_pos_base_lb1,joint_pos_lb1_lb2,joint_pos_lb2_lb3,joint_pos_base_rb1,joint_pos_rb1_rb2,joint_pos_rb2_rb3,joint_vel_base_lf1,joint_vel_lf1_lf2,joint_vel_lf2_lf3,joint_vel_base_rf1,joint_vel_rf1_rf2,joint_vel_rf2_rf3,joint_vel_base_lb1,joint_vel_lb1_lb2,joint_vel_lb2_lb3,joint_vel_base_rb1,joint_vel_rb1_rb2,joint_vel_rb2_rb3,joint_effort_base_lf1,joint_effort_lf1_lf2,joint_effort_lf2_lf3,joint_effort_base_rf1,joint_effort_rf1_rf2,joint_effort_rf2_rf3,joint_effort_base_lb1,joint_effort_lb1_lb2,joint_effort_lb2_lb3,joint_effort_base_rb1,joint_effort_rb1_rb2,joint_effort_rb2_rb3,prev_action_base_lf1,prev_action_lf1_lf2,prev_action_lf2_lf3,prev_action_base_rf1,prev_action_rf1_rf2,prev_action_rf2_rf3,prev_action_base_lb1,prev_action_lb1_lb2,prev_action_lb2_lb3,prev_action_base_rb1,prev_action_rb1_rb2,prev_action_rb2_rb3
0.000000,-0.280292,-0.100721,0.011908,-0.347844,0.126843,-0.117574,0.050357,0.093414,-1.005993,0.150000,0.000000,0.000000,-0.086955,0.026333,0.071423,-0.101217,-0.010834,-0.056325,-0.100298,-0.072601,-0.106728,0.017116,-0.085966,0.113047,-1.806212,1.165751,-0.803477,1.530058,1.773574,-1.603421,1.565605,0.379364,-1.444152,0.898839,-0.148481,0.223059,0.665758,-0.706555,-0.701256,0.685141,-0.724024,-0.700553,-0.710144,-0.705509,0.640714,0.753982,0.746222,0.704921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,-0.216649,-0.056832,-0.302514,0.051793,0.342035,-0.433482,0.005846,-0.070072,-1.031399,0.150000,0.000000,0.000000,-0.003858,-0.027431,0.031234,-0.083800,-0.093523,-0.054975,-0.176898,-0.072414,-0.012414,0.075584,-0.079841,0.136933,-0.943190,-0.142865,-1.623296,4.208244,-4.751643,-1.657785,-4.423592,-2.959898,3.127632,2.413575,4.239149,4.063009,-0.138153,0.055773,0.424780,0.115891,-0.786637,-0.656815,-0.627854,-0.682635,0.735209,0.671397,0.785905,0.749123,-0.031298,-0.222922,-0.156565,0.128980,0.023994,0.100065,-0.123852,0.275692,0.067705,-0.057422,0.359691,0.121963
2.000000,-0.266993,-0.096677,-0.419075,0.360497,-0.227661,0.253311,-0.092214,-0.066243,-1.069383,0.150000,0.000000,0.000000,-0.028679,0.026461,0.052131,-0.045307,-0.157155,-0.182541,-0.240543,-0.186853,-0.003360,0.153497,0.020143,0.232519,2.308061,-2.074107,-1.984671,0.403969,-5.749126,-5.441892,-0.121812,-7.419286,4.456722,5.155418,7.112886,7.015977,-0.008827,0.101209,0.220682,-0.203276,-0.637135,-0.768298,-0.602796,-0.790151,0.684168,0.740953,0.760641,0.729218,0.081980,0.168328,0.109774,0.342367,-0.353191,0.192934,0.178086,-0.192201,-0.308172,-0.028552,0.320727,-0.234135
3.000000,-0.204657,0.119294,0.253082,-0.651740,-5.127363,-0.372861,-0.045916,-0.029538,-1.030468,0.150000,0.000000,0.000000,0.010950,-0.033503,0.074400,0.027500,-0.281357,-0.257387,-0.185570,-0.252693,0.170576,0.329424,0.180383,0.332692,1.980943,-0.636432,-1.762423,0.524057,-1.795166,0.095485,0.804656,1.451598,8.717697,9.187786,4.315760,8.307570,0.014313,-0.064521,0.148589,-0.095486,-0.777568,-0.736228,-0.636485,-0.754060,0.701630,0.766319,0.606071,0.719897,0.051615,0.144507,0.078978,0.204627,-0.063101,0.178693,0.045379,-0.147387,-0.091200,0.000161,0.184614,-0.108205
4.000000,-0.103296,0.055689,0.205238,0.815465,-6.063951,-0.380842,-0.103798,-0.065978,-1.027324,0.150000,0.000000,0.000000,0.000688,0.006903,-0.030371,-0.002224,-0.211231,-0.256411,-0.251399,-0.257283,0.335277,0.395032,0.317222,0.554872,-1.083433,-1.054255,-2.841504,1.422362,0.600253,3.227438,1.558011,4.311849,6.820601,6.717962,2.372487,6.009425,0.093625,0.109546,0.423986,-0.278395,0.755581,0.613015,0.686979,0.747254,-0.692671,-0.640524,-0.662025,-0.705775,-0.051790,0.513615,0.100898,0.408890,-0.617146,0.522560,0.342586,-0.161615,-0.504842,-0.098648,0.616288,-0.480045
5.000000,-0.226099,0.018925,0.082239,-0.129248,-6.193767,-0.800228,-0.290026,-0.078844,-0.880065,0.150000,0.000000,0.000000,-0.048333,-0.037371,0.026252,0.114704,-0.113229,-0.100107,-0.132421,-0.222171,0.421492,0.507640,0.296999,0.624036,2.280670,2.548158,0.251642,5.364051,1.307113,4.635920,5.024788,2.023355,1.578167,2.639579,0.373507,0.896559,0.680493,-0.045576,0.145284,-0.528369,-0.323304,0.609813,0.603303,-0.745545,-0.779063,-0.641797,-0.797569,-0.713684,0.292539,1.163706,-0.549030,0.482380,-0.807706,0.506532,0.773271,-0.756855,-0.940605,-0.506358,1.203948,-1.168238
6.000000,-0.207010,0.011681,0.018171,-0.984383,-6.164537,0.042359,-0.389066,0.077148,-0.857184,0.150000,0.000000,0.000000,0.039263,0.042816,0.033238,0.062761,-0.142295,-0.109355,-0.001786,-0.122189,0.378122,0.499457,0.280417,0.643192,1.533371,-0.278861,-0.058419,2.105089,1.253693,3.034122,5.926115,3.862211,-2.071812,-1.017918,-1.048281,0.339212,-0.114133,-0.043959,0.049007,-0.640301,-0.176116,-0.383994,-0.641751,0.671912,-0.752484,-0.791502,-0.684194,-0.632759,0.754947,1.618416,-1.207338,0.566258,-0.631229,0.562858,1.055025,-1.312839,-1.347652,-0.749251,1.507764,-1.546006
7.000000,-0.282491,0.098916,-0.088842,-0.947894,-6.650624,0.010931,-0.431968,0.075145,-0.936570,0.150000,0.000000,0.000000,0.077213,0.041269,-0.066948,0.181110,-0.108972,0.043560,0.080698,-0.092107,0.419142,0.503860,0.245311,0.540219,3.733525,-1.302882,-2.427840,1.148919,1.235196,6.915167,9.991316,0.183193,-2.847949,-1.330142,-5.827739,-2.116407,0.616158,0.036528,0.043271,-0.232564,-0.042708,0.677407,0.790790,-0.757662,-0.710141,-0.722180,-0.646522,-0.682111,1.253802,2.110382,-1.695612,0.724385,-0.781898,0.740613,1.156022,-2.019758,-1.408567,-0.760403,1.593649,-1.815012
8.000000,-0.356780,0.127317,-0.103240,-1.300874,-6.027215,-0.890362,-0.702365,0.049125,-0.753640,0.150000,0.000000,0.000000,0.153930,-0.008728,-0.048966,0.205402,-0.150398,0.132272,0.278619,-0.138983,0.323545,0.459228,0.123435,0.488828,6.994818,0.136840,-4.480347,1.343706,-3.055795,6.209849,11.876457,-1.341845,-7.036446,-4.217795,-8.996992,-3.803390,0.630467,0.648430,-0.610756,-0.410872,-0.730716,0.638323,0.785353,-0.609437,-0.664861,-0.735024,-0.741373,-0.749203,1.092490,1.709310,-1.214240,0.600406,-1.132944,1.152256,0.897366,-1.792093,-0.598144,-0.516883,1.973092,-1.674273
9.000000,-0.419646,0.079431,-0.307855,-1.245526,-6.515977,-0.476858,-0.679071,0.002511,-0.604594,0.150000,0.000000,0.000000,0.250864,0.110099,-0.136962,0.198902,-0.180971,0.343215,0.588958,-0.183489,0.148150,0.321129,-0.092079,0.420191,8.756752,5.350120,-7.571441,3.122515,-4.390279,11.855619,11.200764,-5.024973,-9.851111,-8.378894,-11.577472,-3.571743,-0.728694,0.650440,-0.745184,-0.353698,-0.741265,0.674725,-0.750924,0.668621,-0.722955,-0.724038,-0.770426,0.761959,0.906316,1.466149,-0.668829,0.637195,-1.350430,1.006153,0.891073,-1.624677,-0.406644,-0.428543,1.766380,-1.403184
