global_step,loop,csv_step,time,playback_hz,hw_scale,sim_action_0,cmd_pos_0,real_pos_0,sim_action_1,cmd_pos_1,real_pos_1,sim_action_2,cmd_pos_2,real_pos_2,sim_action_3,cmd_pos_3,real_pos_3,sim_action_4,cmd_pos_4,real_pos_4,sim_action_5,cmd_pos_5,real_pos_5,sim_action_6,cmd_pos_6,real_pos_6,sim_action_7,cmd_pos_7,real_pos_7,sim_action_8,cmd_pos_8,real_pos_8,sim_action_9,cmd_pos_9,real_pos_9,sim_action_10,cmd_pos_10,real_pos_10,sim_action_11,cmd_pos_11,real_pos_11
0,0,0,0.002153158187866211,25,0.55,-0.031298,-0.0172139,0.011423973285781066,-0.222922,0.6623929000000001,0.7853981633974483,-0.156565,-1.65611075,-1.5875341233261198,0.12898,0.07093900000000002,-0.017135959928671597,0.023994,0.7981967,0.813958096611901,0.100065,-1.51496425,-1.5932461099690105,-0.123852,-0.0681186,0.011423973285781066,0.275692,0.9366306,0.8310940565405726,0.067705,-1.53276225,-1.5875341233261198,-0.057422,-0.0315821,-0.005711986642890533,0.359691,0.98283005,0.8310940565405726,0.121963,-1.5029203500000001,-1.6046700832547915
1,0,1,0.04185175895690918,25,0.55,0.08198,0.045089000000000004,0.005711986642890533,0.168328,0.8775804,0.7968221366832293,0.109774,-1.5096243,-1.5875341233261198,0.342367,0.18830185,-0.017135959928671597,-0.353191,0.59074495,0.8196700832547915,0.192934,-1.4638863,-1.598958096611901,0.178086,0.0979473,0.034271919857343194,-0.192201,0.67928945,0.8710779630408063,-0.308172,-1.7394946,-1.5875341233261198,-0.028552,-0.0157036,0.0,0.320727,0.9613998500000001,0.8368060431834631,-0.234135,-1.69877425,-1.6275180298263536
2,0,2,0.08175444602966309,25,0.55,0.051615,0.028388250000000004,0.028559933214452663,0.144507,0.86447885,0.7968221366832293,0.078978,-1.5265621,-1.5875341233261198,0.204627,0.11254485000000002,0.03998390650023373,-0.063101,0.7502944500000001,0.825382069897682,0.178693,-1.47171885,-1.5646861767545577,0.045379,0.024958450000000004,0.034271919857343194,-0.147387,0.70393715,0.8482300164692441,-0.0912,-1.62016,-1.5932461099690105,0.000161,8.855000000000001e-05,-0.03998390650023373,0.184614,0.8865377000000001,0.8539420031121346,-0.108205,-1.62951275,-1.6275180298263536
3,0,3,0.12181353569030762,25,0.55,-0.05179,-0.028484500000000003,0.028559933214452663,0.513615,1.06748825,0.7625502168258862,0.100898,-1.5145061,-1.536126243540105,0.40889,0.2248895,0.10852774621492012,-0.617146,0.4455697,0.7454142568972145,0.52256,-1.282592,-1.5589741901116674,0.342586,0.18842230000000001,0.028559933214452663,-0.161615,0.69611175,0.8653659763979158,-0.504842,-1.8476631000000001,-1.6789259096123685,-0.098648,-0.0542564,-0.017135959928671597,0.616288,1.1239584,0.9510457760412737,-0.480045,-1.8340247500000002,-1.6389420031121347
4,0,4,0.16197609901428223,25,0.55,0.292539,0.16089645,0.022847946571562132,1.163706,1.4250383,0.7625502168258862,-0.54903,-1.8719665,-1.524702270254324,0.48238,0.265309,0.10281575957202958,-0.807706,0.3407617,0.7625502168258862,0.506532,-1.2914074,-1.5532622034687766,0.773271,0.42529905000000007,0.034271919857343194,-0.756855,0.36872974999999997,0.7853981633974483,-0.940605,-2.08733275,-1.6960618695410399,-0.506358,-0.2784969,-0.017135959928671597,1.203948,1.4471714000000002,0.9281978294697116,-1.168238,-2.2125309,-1.6446539897550252
5,0,5,0.20200443267822266,25,0.55,0.754947,0.41522085000000003,-0.011423973285781066,1.618416,1.5,0.9796057092557264,-1.207338,-2.2340359000000003,-1.513278296968543,0.566258,0.31144190000000005,0.20563151914405917,-0.631229,0.43782404999999996,0.6197505507536228,0.562858,-1.2604281,-1.416174524039404,1.055025,0.5,0.11995171950070119,-1.312839,0.06293854999999993,0.7054303503969808,-1.347652,-2.3112086,-1.793165642470179,-0.749251,-0.41208805000000004,-0.034271919857343194,1.507764,1.5,0.996741669184398,-1.546006,-2.4203033,-1.6446539897550252
6,0,6,0.24212169647216797,25,0.55,1.253802,0.5,0.13137569278648226,2.110382,1.5,1.33946086775783,-1.695612,-2.5,-1.7874536558272887,0.724385,0.39841175,0.30844727871608874,-0.781898,0.3549561,0.6197505507536228,0.740613,-1.16266285,-1.3933265774678418,1.156022,0.5,0.3884150917165562,-2.019758,0.0,0.556918697681827,-1.408567,-2.34471185,-2.061629014686034,-0.760403,-0.41822165000000006,-0.35985515850210353,1.593649,1.5,1.459412587258531,-1.815012,-2.5,-1.953101268471114
7,0,7,0.2821693420410156,25,0.55,1.09249,0.5,0.3884150917165562,1.70931,1.5,1.487972520472984,-1.21424,-2.237832,-2.12446086775783,0.600406,0.3302233,0.30844727871608874,-1.132944,0.16188080000000005,0.4598149247526879,1.152256,-0.9362592000000001,-1.3761906175391703,0.897366,0.4935513,0.5083668112172574,-1.792093,0.0,0.2427594323228477,-0.598144,-1.8989792,-2.4043482132594662,-0.516883,-0.28428565,-0.4055510516452278,1.973092,1.5,1.499396493758765,-1.674273,-2.49085015,-2.4329081464739186
8,0,8,0.3222339153289795,25,0.55,0.906316,0.4984738,0.4912308512885858,1.466149,1.5,1.487972520472984,-0.668829,-1.93785595,-2.12446086775783,0.637195,0.35045725,0.3312952252876509,-1.35043,0.04226350000000001,0.385559098395111,1.006153,-1.01661585,-1.256238898038469,0.891073,0.49009015000000006,0.5540627043603816,-1.624677,0.0,0.1685036059652708,-0.406644,-1.7936542000000002,-2.3529403334734513,-0.428543,-0.23569865,-0.42268701157389943,1.76638,1.5,1.522244440330327,-1.403184,-2.3417512,-2.4957399995457146
9,0,9,0.3623616695404053,25,0.55,0.844527,0.46448985000000004,0.48551886464569527,1.360124,1.5,1.5508043735447796,-0.50344,-1.846892,-2.244412587258531,0.600786,0.33043230000000007,0.2913113187874172,-1.366401,0.033479449999999966,0.2199114857512856,0.896538,-1.0769041000000001,-1.1305751918948772,0.53082,0.291951,0.5369267444317101,-1.346263,0.044555349999999994,0.15707963267948966,-0.191674,-1.6754207,-2.2044286807582973,-0.467076,-0.2568918,-0.23990343900140237,1.632077,1.5,1.499396493758765,-1.239718,-2.2518449,-2.4843160262599335
